"Country or Area","Year","Value","Value Footnotes"
"East Asia & Pacific (all income levels)","2015","29.9396190744352",""
"East Asia & Pacific (all income levels)","2014","32.3777207564027",""
"East Asia & Pacific (all income levels)","2013","32.4508814679823",""
"East Asia & Pacific (all income levels)","2012","32.711801553205",""
"East Asia & Pacific (all income levels)","2011","33.5509398836765",""
"East Asia & Pacific (all income levels)","2010","32.630746599272",""
"East Asia & Pacific (all income levels)","2009","29.876821488792",""
"East Asia & Pacific (all income levels)","2008","36.200653689525",""
"East Asia & Pacific (all income levels)","2007","36.4762221672508",""
"East Asia & Pacific (all income levels)","2006","36.3160184708156",""
"East Asia & Pacific (all income levels)","2005","34.6184935902618",""
"East Asia & Pacific (all income levels)","2004","32.6867158476124",""
"East Asia & Pacific (all income levels)","2003","29.6167507541985",""
"East Asia & Pacific (all income levels)","2002","27.2509679840218",""
"East Asia & Pacific (all income levels)","2001","26.4714726502622",""
"East Asia & Pacific (all income levels)","2000","27.4083408804325",""
"East Asia & Pacific (all income levels)","1999","25.0751074530906",""
"East Asia & Pacific (all income levels)","1998","26.1620088888274",""
"East Asia & Pacific (all income levels)","1997","24.3862913132562",""
"East Asia & Pacific (all income levels)","1996","22.9414931356527",""
"East Asia & Pacific (all income levels)","1995","23.8995813272383",""
"East Asia & Pacific (all income levels)","1994","23.5317828847929",""
"East Asia & Pacific (all income levels)","1993","20.8412476700123",""
"East Asia & Pacific (all income levels)","1992","21.9406881139452",""
"East Asia & Pacific (all income levels)","1991","22.0814109988725",""
"East Asia & Pacific (all income levels)","1990","21.6247785720285",""
"East Asia & Pacific (all income levels)","1989","20.1646207356914",""
"East Asia & Pacific (all income levels)","1988","20.4098305759659",""
"East Asia & Pacific (all income levels)","1987","20.2721927025276",""
"East Asia & Pacific (all income levels)","1986","19.1267100272792",""
"East Asia & Pacific (all income levels)","1985","19.4149003616718",""
"East Asia & Pacific (all income levels)","1984","19.5060423168592",""
"East Asia & Pacific (all income levels)","1983","18.6891052070836",""
"East Asia & Pacific (all income levels)","1982","19.0827810641205",""
"East Asia & Pacific (all income levels)","1981","19.6216241317551",""
"East Asia & Pacific (all income levels)","1980","19.0231737330624",""
"East Asia & Pacific (all income levels)","1979","17.107572414685",""
"East Asia & Pacific (all income levels)","1978","15.9501044855029",""
"East Asia & Pacific (all income levels)","1977","16.6061970132274",""
"East Asia & Pacific (all income levels)","1976","16.6320613264243",""
"East Asia & Pacific (all income levels)","1975","15.6479477310365",""
"East Asia & Pacific (all income levels)","1974","16.6504888814858",""
"East Asia & Pacific (all income levels)","1973","14.4800614237964",""
"East Asia & Pacific (all income levels)","1972","12.9879249382148",""
"East Asia & Pacific (all income levels)","1971","12.8864704636389",""
"East Asia & Pacific (all income levels)","1970","12.3318218716492",""
"East Asia & Pacific (all income levels)","1969","12.2555939061332",""
"East Asia & Pacific (all income levels)","1968","12.0041116135406",""
"East Asia & Pacific (all income levels)","1967","11.3840537172788",""
"East Asia & Pacific (all income levels)","1966","11.9758727080406",""
"East Asia & Pacific (all income levels)","1965","11.4218324929526",""
"East Asia & Pacific (all income levels)","1964","11.1120912115386",""
"East Asia & Pacific (all income levels)","1963","10.9764698290288",""
"East Asia & Pacific (all income levels)","1962","11.1534570849582",""
"East Asia & Pacific (all income levels)","1961","11.2175008406057",""
"East Asia & Pacific (all income levels)","1960","12.5115206535385",""
"Europe & Central Asia (all income levels)","2015","41.9655163340776",""
"Europe & Central Asia (all income levels)","2014","41.7318336988231",""
"Europe & Central Asia (all income levels)","2013","41.5403998254895",""
"Europe & Central Asia (all income levels)","2012","41.4989263469495",""
"Europe & Central Asia (all income levels)","2011","40.4720494947331",""
"Europe & Central Asia (all income levels)","2010","38.0913627113814",""
"Europe & Central Asia (all income levels)","2009","34.7937915536944",""
"Europe & Central Asia (all income levels)","2008","39.0015852845886",""
"Europe & Central Asia (all income levels)","2007","38.2500681365196",""
"Europe & Central Asia (all income levels)","2006","37.9139726432794",""
"Europe & Central Asia (all income levels)","2005","36.1795936046622",""
"Europe & Central Asia (all income levels)","2004","35.0229767014002",""
"Europe & Central Asia (all income levels)","2003","33.7198363669575",""
"Europe & Central Asia (all income levels)","2002","34.3688861156311",""
"Europe & Central Asia (all income levels)","2001","35.3605806021232",""
"Europe & Central Asia (all income levels)","2000","35.7912252757434",""
"Europe & Central Asia (all income levels)","1999","32.4878290089626",""
"Europe & Central Asia (all income levels)","1998","31.3993772986129",""
"Europe & Central Asia (all income levels)","1997","31.096054505954",""
"Europe & Central Asia (all income levels)","1996","29.5006765639478",""
"Europe & Central Asia (all income levels)","1995","29.3152393140211",""
"Europe & Central Asia (all income levels)","1994","27.7335284345899",""
"Europe & Central Asia (all income levels)","1993","27.0986729919163",""
"Europe & Central Asia (all income levels)","1992","28.7665850770343",""
"Europe & Central Asia (all income levels)","1991","25.0666397826513",""
"Europe & Central Asia (all income levels)","1990","25.4742283482839",""
"Europe & Central Asia (all income levels)","1989","25.9687239351099",""
"Europe & Central Asia (all income levels)","1988","25.1957027039837",""
"Europe & Central Asia (all income levels)","1987","24.9552531144461",""
"Europe & Central Asia (all income levels)","1986","25.4538088084129",""
"Europe & Central Asia (all income levels)","1985","28.4693987075627",""
"Europe & Central Asia (all income levels)","1984","28.1935778265648",""
"Europe & Central Asia (all income levels)","1983","26.416094943908",""
"Europe & Central Asia (all income levels)","1982","26.052818320684",""
"Europe & Central Asia (all income levels)","1981","25.9548242887646",""
"Europe & Central Asia (all income levels)","1980","24.6261410002459",""
"Europe & Central Asia (all income levels)","1979","23.7153574956885",""
"Europe & Central Asia (all income levels)","1978","22.9728596239107",""
"Europe & Central Asia (all income levels)","1977","23.2347267668679",""
"Europe & Central Asia (all income levels)","1976","22.8365520453703",""
"Europe & Central Asia (all income levels)","1975","21.8461638196091",""
"Europe & Central Asia (all income levels)","1974","23.3941260847009",""
"Europe & Central Asia (all income levels)","1973","20.595111394294",""
"Europe & Central Asia (all income levels)","1972","19.535712416921",""
"Europe & Central Asia (all income levels)","1971","19.5117679731687",""
"Europe & Central Asia (all income levels)","1970","19.4629573727509",""
"Europe & Central Asia (all income levels)","1969","20.8288728210643",""
"Europe & Central Asia (all income levels)","1968","19.9441572163972",""
"Europe & Central Asia (all income levels)","1967","18.9810537758743",""
"Europe & Central Asia (all income levels)","1966","19.2596988289535",""
"Europe & Central Asia (all income levels)","1965","19.0485951778774",""
"Europe & Central Asia (all income levels)","1964","18.8831070109466",""
"Europe & Central Asia (all income levels)","1963","18.6970943546717",""
"Europe & Central Asia (all income levels)","1962","18.859611072389",""
"Europe & Central Asia (all income levels)","1961","19.1939521629604",""
"Europe & Central Asia (all income levels)","1960","19.4213061400428",""
"High income","2015","30.5391379674385",""
"High income","2014","31.9829347460508",""
"High income","2013","32.0492570237957",""
"High income","2012","31.9388972601051",""
"High income","2011","31.5205632748419",""
"High income","2010","29.5654699971044",""
"High income","2009","26.9332452003382",""
"High income","2008","30.689266575167",""
"High income","2007","29.6354089896507",""
"High income","2006","28.8906473825897",""
"High income","2005","27.4193434298219",""
"High income","2004","26.3829156626143",""
"High income","2003","24.9598685677172",""
"High income","2002","24.9266248253725",""
"High income","2001","25.4748302454113",""
"High income","2000","25.9875806227501",""
"High income","1999","23.8743077227762",""
"High income","1998","23.8550732206301",""
"High income","1997","23.8197432662957",""
"High income","1996","22.7332116855101",""
"High income","1995","22.4553703966898",""
"High income","1994","21.1130521553811",""
"High income","1993","20.2659299002436",""
"High income","1992","20.2443149237748",""
"High income","1991","20.2209645863255",""
"High income","1990","20.3790996576077",""
"High income","1989","20.2408252292668",""
"High income","1988","19.7459688746974",""
"High income","1987","19.3348376124302",""
"High income","1986","19.2957956626444",""
"High income","1985","20.8944573040253",""
"High income","1984","21.1211360950199",""
"High income","1983","20.2239606476003",""
"High income","1982","20.6158414106301",""
"High income","1981","21.3824750903944",""
"High income","1980","20.9704046305846",""
"High income","1979","19.5205421819448",""
"High income","1978","18.5957233127604",""
"High income","1977","18.8287899311584",""
"High income","1976","18.7468099974138",""
"High income","1975","18.2512425685452",""
"High income","1974","18.9740569876022",""
"High income","1973","17.0715197653927",""
"High income","1972","15.4183508988907",""
"High income","1971","15.326772629944",""
"High income","1970","15.2063876108971",""
"High income","1969","15.1676668524191",""
"High income","1968","14.6561355253762",""
"High income","1967","13.497532647506",""
"High income","1966","13.6484225835166",""
"High income","1965","13.4056297685578",""
"High income","1964","12.9844514441118",""
"High income","1963","12.7676395095513",""
"High income","1962","12.8283643624475",""
"High income","1961","12.9477932353052",""
"High income","1960","13.4464913191468",""
"Latin America & Caribbean (all income levels)","2015","21.4223168900544",""
"Latin America & Caribbean (all income levels)","2014","20.1535876263443",""
"Latin America & Caribbean (all income levels)","2013","21.4665314416548",""
"Latin America & Caribbean (all income levels)","2012","22.2282097921678",""
"Latin America & Caribbean (all income levels)","2011","22.6656089608562",""
"Latin America & Caribbean (all income levels)","2010","21.4912093299948",""
"Latin America & Caribbean (all income levels)","2009","19.9985996025053",""
"Latin America & Caribbean (all income levels)","2008","23.2185207157209",""
"Latin America & Caribbean (all income levels)","2007","23.1647305780356",""
"Latin America & Caribbean (all income levels)","2006","24.0604536386675",""
"Latin America & Caribbean (all income levels)","2005","24.020795664637",""
"Latin America & Caribbean (all income levels)","2004","24.0793356999906",""
"Latin America & Caribbean (all income levels)","2003","23.0403433278625",""
"Latin America & Caribbean (all income levels)","2002","21.7478887221093",""
"Latin America & Caribbean (all income levels)","2001","19.0358409288056",""
"Latin America & Caribbean (all income levels)","2000","19.2733018384461",""
"Latin America & Caribbean (all income levels)","1999","18.1436854280155",""
"Latin America & Caribbean (all income levels)","1998","16.6892972643173",""
"Latin America & Caribbean (all income levels)","1997","17.2951066304531",""
"Latin America & Caribbean (all income levels)","1996","17.993402700515",""
"Latin America & Caribbean (all income levels)","1995","17.3884965534041",""
"Latin America & Caribbean (all income levels)","1994","15.7058359357269",""
"Latin America & Caribbean (all income levels)","1993","15.386606539649",""
"Latin America & Caribbean (all income levels)","1992","16.5041871012437",""
"Latin America & Caribbean (all income levels)","1991","16.7243337907277",""
"Latin America & Caribbean (all income levels)","1990","17.8218618863296",""
"Latin America & Caribbean (all income levels)","1989","17.8289387488968",""
"Latin America & Caribbean (all income levels)","1988","17.1071274785473",""
"Latin America & Caribbean (all income levels)","1987","16.0501297042958",""
"Latin America & Caribbean (all income levels)","1986","15.4678891407586",""
"Latin America & Caribbean (all income levels)","1985","17.1220049950357",""
"Latin America & Caribbean (all income levels)","1984","17.485848037964",""
"Latin America & Caribbean (all income levels)","1983","16.3335609686844",""
"Latin America & Caribbean (all income levels)","1982","14.1271621797627",""
"Latin America & Caribbean (all income levels)","1981","14.0549886076817",""
"Latin America & Caribbean (all income levels)","1980","14.6896724453211",""
"Latin America & Caribbean (all income levels)","1979","13.4626243081533",""
"Latin America & Caribbean (all income levels)","1978","12.5179461863778",""
"Latin America & Caribbean (all income levels)","1977","13.036200985096",""
"Latin America & Caribbean (all income levels)","1976","12.4422156587487",""
"Latin America & Caribbean (all income levels)","1975","12.1707154770499",""
"Latin America & Caribbean (all income levels)","1974","13.5245684836805",""
"Latin America & Caribbean (all income levels)","1973","12.0949084996015",""
"Latin America & Caribbean (all income levels)","1972","10.8763026722271",""
"Latin America & Caribbean (all income levels)","1971","10.2997231514941",""
"Latin America & Caribbean (all income levels)","1970","10.8289083471433",""
"Latin America & Caribbean (all income levels)","1969","10.4513991483104",""
"Latin America & Caribbean (all income levels)","1968","10.1490217575961",""
"Latin America & Caribbean (all income levels)","1967","10.0635196807486",""
"Latin America & Caribbean (all income levels)","1966","10.5808992364641",""
"Latin America & Caribbean (all income levels)","1965","10.9901082680588",""
"Latin America & Caribbean (all income levels)","1964","10.5417270289202",""
"Latin America & Caribbean (all income levels)","1963","12.1284816796553",""
"Latin America & Caribbean (all income levels)","1962","9.83246467364624",""
"Latin America & Caribbean (all income levels)","1961","11.3633802306916",""
"Latin America & Caribbean (all income levels)","1960","11.5937934559572",""
"Low & middle income","2015","25.1395446615191",""
"Low & middle income","2014","26.3438660932285",""
"Low & middle income","2013","26.9117653135553",""
"Low & middle income","2012","27.8103237300949",""
"Low & middle income","2011","28.4811758321603",""
"Low & middle income","2010","27.4481050855046",""
"Low & middle income","2009","25.6906312710943",""
"Low & middle income","2008","31.0769198880204",""
"Low & middle income","2007","31.5495630715245",""
"Low & middle income","2006","32.6515186036499",""
"Low & middle income","2005","31.9638879532442",""
"Low & middle income","2004","30.4974010712665",""
"Low & middle income","2003","28.4936877163017",""
"Low & middle income","2002","26.8622534101171",""
"Low & middle income","2001","25.6663809547868",""
"Low & middle income","2000","26.9055937937254",""
"Low & middle income","1999","24.3448544455842",""
"Low & middle income","1998","23.0350601922128",""
"Low & middle income","1997","22.4221246744291",""
"Low & middle income","1996","21.3403114381004",""
"Low & middle income","1995","21.9969766902228",""
"Low & middle income","1994","21.7724336621839",""
"Low & middle income","1993","19.8314367775332",""
"Low & middle income","1992","22.6866183564083",""
"Low & middle income","1991","18.2260679327409",""
"Low & middle income","1990","18.0930601551798",""
"Low & middle income","1989","16.8510752859306",""
"Low & middle income","1988","15.6380482978943",""
"Low & middle income","1987","15.2424965877339",""
"Low & middle income","1986","13.630118091396",""
"Low & middle income","1985","14.2644009595495",""
"Low & middle income","1984","14.085795275159",""
"Low & middle income","1983","13.3255086473265",""
"Low & middle income","1982","13.0600362463808",""
"Low & middle income","1981","13.2693951522203",""
"Low & middle income","1980","13.5143731103847",""
"Low & middle income","1979","12.6883115134228",""
"Low & middle income","1978","11.2865372777641",""
"Low & middle income","1977","11.7924651429587",""
"Low & middle income","1976","11.8434322475137",""
"Low & middle income","1975","11.5823299151311",""
"Low & middle income","1974","13.0151745470017",""
"Low & middle income","1973","10.9815691321792",""
"Low & middle income","1972","9.415607941988",""
"Low & middle income","1971","8.85527241840961",""
"Low & middle income","1970","8.68099606631016",""
"Low & middle income","1969","8.29168945251603",""
